,id,name,artists,duration_s,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,Year_dt
122,795LIYKphBOsvyMh5hZaPk,The Glory,Kanye West,212.707,9/11/07,2007,0.0455,0.423,0.643,0.0,0.172,-7.261,0.287,84.336,0.708,1,6,58,1,2007-01-01
123,2ipNhjgsoM930FqDFl0ShM,Barry Bonds,Kanye West,204.307,9/11/07,2007,0.0451,0.48,0.624,0.0,0.337,-6.131,0.382,165.057,0.704,1,1,56,1,2007-01-01
124,6j8gTlbhj9KJSeypNcNAS9,Street Lights,Kanye West,189.907,1/1/08,2008,0.0287,0.644,0.487,0.0166,0.206,-9.654,0.034,125.528,0.467,1,6,59,0,2008-01-01
125,3F18I7LhWKxlf1PytSoTBH,Welcome To Heartbreak,Kanye West,262.933,1/1/08,2008,0.0985,0.677,0.435,0.721,0.111,-11.024,0.033,95.991,0.0729,0,7,59,0,2008-01-01
126,7dZAPeA3Of5j5Vaef0DQ6M,Make Her Say,Kanye West,216.413,1/1/09,2009,0.245,0.93,0.712,1.48e-05,0.116,-5.156,0.0666,99.054,0.456,0,10,56,1,2009-01-01
127,2Im64pIz6m0EJKdUe6eZ8r,Lost In The World,Kanye West,256.587,11/22/10,2010,0.115,0.609,0.746,0.0087,0.427,-5.249,0.184,117.072,0.277,0,5,62,1,2010-01-01
128,6K07Ahf6V7CAQn0ikrOztl,So Appalled,Kanye West,397.667,11/22/10,2010,0.255,0.629,0.754,0.0,0.63,-5.873,0.289,87.07,0.58,0,1,60,1,2010-01-01
129,5Pt83OUaK3K9C2if4C5JOk,Gotta Have It,Kanye West,140.747,8/8/11,2011,0.411,0.74,0.574,0.0,0.262,-6.938,0.245,149.762,0.33,1,4,62,1,2011-01-01
130,36ux3YuUsGTWPT8fXclS45,E.T.,Kanye West,229.573,3/12/12,2012,0.0181,0.62,0.869,0.0,0.369,-5.252,0.175,151.684,0.76,1,1,65,0,2012-01-01
131,12D0n7hKpPcjuUpcbAKjjr,Don't Like.1,Kanye West,283.653,1/1/12,2012,0.00822,0.668,0.628,0.0,0.145,-5.327,0.205,131.88,0.621,0,6,58,1,2012-01-01
132,5nIu0VwPOsjkF61zfevLKh,Hold My Liquor,Kanye West,326.947,1/1/13,2013,0.0199,0.495,0.322,7.61e-06,0.115,-10.36,0.0337,106.992,0.0399,1,8,62,1,2013-01-01
133,4cAgkb0ifwn0FSHGXnr4F6,New Slaves,Kanye West,256.093,1/1/13,2013,0.166,0.579,0.59,1.09e-05,0.096,-4.322,0.0708,150.189,0.361,1,1,62,1,2013-01-01
134,2KpCpk6HjXXLb7nnXoXA5O,Ni**as In Paris,Kanye West,219.32,12/9/14,2014,0.0763,0.757,0.882,0.0,0.251,-6.125,0.248,140.047,0.684,1,1,61,1,2014-01-01
135,078C2jXg7XsMgW78Gfx1JA,SMUCKERS (feat. Lil Wayne & Kanye West),Kanye West,334.363,4/13/15,2015,0.0149,0.452,0.85,0.00367,0.153,-2.945,0.342,79.453,0.554,0,10,64,1,2015-01-01
136,2nBI3iWLhupR7LyAJ5GGkE,Champions,Kanye West,334.253,6/10/16,2016,0.0623,0.692,0.774,0.0,0.873,-2.48,0.0876,134.952,0.349,0,6,68,1,2016-01-01
137,30Zcjs7pgEkmJA1lEbGSWT,FML,Kanye West,236.12,6/10/16,2016,0.329,0.527,0.415,0.0,0.195,-7.184,0.131,125.357,0.12,1,5,68,1,2016-01-01
138,2yJ9GVCLMmzBBfQAnfzlwr,THat Part,Kanye West,313.573,7/8/16,2016,0.0855,0.927,0.535,0.0,0.136,-7.59,0.0911,112.96,0.336,0,6,66,1,2016-01-01
139,3cCxoOgfi6hgt8MNteuiiD,Fade,Kanye West,193.748,6/10/16,2016,0.118,0.752,0.765,0.0,0.31,-5.805,0.0908,105.998,0.309,0,9,68,1,2016-01-01
140,2QpGZOhTCHHiKmpSO9FW4h,Follow God,Kanye West,104.591,10/25/19,2019,0.000248,0.529,0.9,1.21e-05,0.0426,-3.503,0.418,180.291,0.434,1,1,77,0,2019-01-01
141,62wtttQzoIA9HnNmGVd9Yq,Two Words,Kanye West,266.213,2/10/04,2004,0.0158,0.442,0.807,6.43e-06,0.217,-4.753,0.265,84.649,0.446,1,6,54,1,2004-01-01
142,1th3G3okofWlvGWAAR7Y4V,School Spirit,Kanye West,182.387,2/10/04,2004,0.339,0.483,0.787,0.0,0.236,-5.422,0.21,84.81,0.592,0,5,54,0,2004-01-01
143,7iOhWWYjhhQiXzF4o4HhXN,Last Call,Kanye West,760.973,2/10/04,2004,0.577,0.473,0.727,0.0,0.316,-6.843,0.356,83.212,0.854,1,8,53,1,2004-01-01
144,5RjbFGeWVsCpw8EcE8OrvZ,Gone,Kanye West,333.293,9/30/05,2005,0.0148,0.84,0.668,0.0,0.0699,-6.042,0.262,92.805,0.344,1,1,54,1,2005-01-01
145,2DHNCWZYmVr1Lv08q5b0kB,Roses,Kanye West,245.867,9/30/05,2005,0.258,0.715,0.465,2.7e-05,0.108,-6.455,0.0926,97.714,0.508,0,3,54,1,2005-01-01
146,1x6jHJGczTBitBy06hIWgx,Big Brother,Kanye West,287.573,9/11/07,2007,0.214,0.498,0.742,0.0,0.0641,-6.248,0.259,78.428,0.302,0,11,56,1,2007-01-01
147,4Sw4lblE6aXpoOJma6Mlx5,Drunk and Hot Girls,Kanye West,313.227,9/11/07,2007,0.0697,0.661,0.442,1.15e-05,0.136,-7.297,0.0285,82.758,0.299,0,10,56,1,2007-01-01
148,5bkhrGvabAPrugPUm7DvsD,Make Her Say,Kanye West,216.413,1/1/09,2009,0.245,0.93,0.712,1.48e-05,0.116,-5.156,0.0666,99.054,0.456,0,10,53,1,2009-01-01
149,3rCNmRonlHN1TXQLcG3dSk,Hell Of A Life,Kanye West,327.787,11/22/10,2010,0.00142,0.449,0.813,0.000172,0.106,-5.478,0.129,177.962,0.452,1,8,60,1,2010-01-01
150,4EndPA8b6FDWYp1RgsnLEB,Blame Game,Kanye West,469.867,11/22/10,2010,0.305,0.425,0.581,6.3e-05,0.11,-5.964,0.0646,83.352,0.636,0,10,60,1,2010-01-01
151,4D6TpthzUVNTjWQqfBW5Kb,All Of The Lights (Interlude),Kanye West,62.253,11/22/10,2010,0.902,0.296,0.0792,0.591,0.128,-16.569,0.0392,111.272,0.497,0,10,59,1,2010-01-01
152,3R1k8P1MrDdLSRhlTaaWAS,Who Gon Stop Me,Kanye West,256.707,8/8/11,2011,0.0408,0.594,0.73,0.000164,0.715,-4.638,0.159,133.88,0.378,0,0,59,1,2011-01-01
153,5xpmdbQcfIOsE1hACcC3UK,Marvin & Chardonnay,Kanye West,222.867,1/1/11,2011,0.0671,0.613,0.807,0.0,0.322,-2.739,0.0382,133.023,0.813,0,11,54,1,2011-01-01
154,5qkWTBmDmZjogwIvbKtJQv,Birthday Song,Kanye West,306.6,1/1/12,2012,0.0591,0.753,0.59,0.0,0.15,-2.623,0.0485,140.002,0.161,1,1,56,1,2012-01-01
155,3U8Ev1gISsx6O1uwpsttOD,Mercy.1,Kanye West,326.347,1/1/12,2012,0.045,0.731,0.624,3.37e-05,0.305,-5.761,0.311,140.131,0.528,0,6,56,1,2012-01-01
156,66Q3fAmSX5eHamgbKa9alP,Real Friends,Kanye West,251.573,6/10/16,2016,0.262,0.441,0.744,0.000382,0.138,-6.248,0.476,81.396,0.124,0,6,67,1,2016-01-01
157,0zLClc0emc6qUeV1p5nc99,No More Parties In LA,Kanye West,374.413,6/10/16,2016,0.246,0.508,0.921,0.0,0.221,-1.644,0.303,93.058,0.681,1,5,66,1,2016-01-01
158,1Wsbr1d2BouNGk2q92mIj7,Pt. 2,Kanye West,130.293,6/10/16,2016,0.552,0.674,0.752,0.0,0.787,-4.073,0.333,145.076,0.236,1,11,66,1,2016-01-01
159,4S8d14HvHb70ImctNgVzQQ,I Love It (& Lil Pump),Kanye West,127.947,9/7/18,2018,0.0114,0.901,0.522,0.0,0.259,-8.304,0.33,104.053,0.329,1,2,76,1,2018-01-01
